case_id,legal_domain,case_type
CASE-004307,Family & Succession,Inheritance / Probate
CASE-004308,Property & Land,Property / Partition Suit
CASE-004309,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004310,Child Protection,POCSO / Child Protection Proceeding
CASE-004311,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004312,Human Rights & PIL,Public Interest Litigation
CASE-004313,Education Law,Student Admission / Examination Dispute
CASE-004314,Child Protection,POCSO / Child Protection Proceeding
CASE-004315,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004316,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004317,Child Protection,POCSO / Child Protection Proceeding
CASE-004318,Property & Land,Property / Partition Suit
CASE-004319,Criminal Law,Criminal Trial
CASE-004320,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004321,Media & Defamation,Defamation Suit
CASE-004322,Administrative Law,Administrative Order Challenge
CASE-004323,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004324,Tax & GST,GST / Tax Assessment Appeal
CASE-004325,Environmental Law,Environmental Clearance Challenge
CASE-004326,Divorce & Matrimonial,Divorce Petition
CASE-004327,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004328,Employment & Labour,Wrongful Termination
CASE-004329,Employment & Labour,Wrongful Termination
CASE-004330,Employment & Labour,Wrongful Termination
CASE-004331,Child Protection,POCSO / Child Protection Proceeding
CASE-004332,Employment & Labour,Wrongful Termination
CASE-004333,Tax & GST,GST / Tax Assessment Appeal
CASE-004334,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004335,Arbitration,Arbitral Award Challenge
CASE-004336,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004337,Arbitration,Arbitral Award Challenge
CASE-004338,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004339,Corporate & Commercial,Commercial Contract Dispute
CASE-004340,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004341,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004342,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004343,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004344,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004345,Human Rights & PIL,Public Interest Litigation
CASE-004346,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004347,Employment & Labour,Wrongful Termination
CASE-004348,Human Rights & PIL,Public Interest Litigation
CASE-004349,Arbitration,Arbitral Award Challenge
CASE-004350,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004351,Property & Land,Property / Partition Suit
CASE-004352,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004353,White Collar Crime,Money Laundering / Corruption Case
CASE-004354,Education Law,Student Admission / Examination Dispute
CASE-004355,Media & Defamation,Defamation Suit
CASE-004356,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004357,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004358,Family & Succession,Inheritance / Probate
CASE-004359,Human Rights & PIL,Public Interest Litigation
CASE-004360,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004361,Environmental Law,Environmental Clearance Challenge
CASE-004362,Divorce & Matrimonial,Divorce Petition
CASE-004363,Human Rights & PIL,Public Interest Litigation
CASE-004364,Employment & Labour,Wrongful Termination
CASE-004365,Family & Succession,Inheritance / Probate
CASE-004366,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004367,Intellectual Property,Trademark Infringement
CASE-004368,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004369,Property & Land,Property / Partition Suit
CASE-004370,Environmental Law,Environmental Clearance Challenge
CASE-004371,Family & Succession,Inheritance / Probate
CASE-004372,Human Rights & PIL,Public Interest Litigation
CASE-004373,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004374,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004375,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004376,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004377,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004378,Intellectual Property,Trademark Infringement
CASE-004379,Employment & Labour,Wrongful Termination
CASE-004380,Tax & GST,GST / Tax Assessment Appeal
CASE-004381,Media & Defamation,Defamation Suit
CASE-004382,Tax & GST,GST / Tax Assessment Appeal
CASE-004383,Property & Land,Property / Partition Suit
CASE-004384,Consumer Protection,Deficiency in Service Complaint
CASE-004385,Arbitration,Arbitral Award Challenge
CASE-004386,Media & Defamation,Defamation Suit
CASE-004387,Medical Negligence,Medical Negligence Complaint
CASE-004388,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004389,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004390,Tax & GST,GST / Tax Assessment Appeal
CASE-004391,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004392,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004393,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004394,Education Law,Student Admission / Examination Dispute
CASE-004395,Child Protection,POCSO / Child Protection Proceeding
CASE-004396,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004397,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004398,Intellectual Property,Trademark Infringement
CASE-004399,Administrative Law,Administrative Order Challenge
CASE-004400,Child Protection,POCSO / Child Protection Proceeding
CASE-004401,Family & Succession,Inheritance / Probate
CASE-004402,Arbitration,Arbitral Award Challenge
CASE-004403,Education Law,Student Admission / Examination Dispute
CASE-004404,Family & Succession,Inheritance / Probate
CASE-004405,Corporate & Commercial,Commercial Contract Dispute
CASE-004406,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004407,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004408,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004409,Divorce & Matrimonial,Divorce Petition
CASE-004410,Family & Succession,Inheritance / Probate
CASE-004411,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004412,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004413,Administrative Law,Administrative Order Challenge
CASE-004414,White Collar Crime,Money Laundering / Corruption Case
CASE-004415,Divorce & Matrimonial,Divorce Petition
CASE-004416,Intellectual Property,Trademark Infringement
CASE-004417,Property & Land,Property / Partition Suit
CASE-004418,Medical Negligence,Medical Negligence Complaint
CASE-004419,Education Law,Student Admission / Examination Dispute
CASE-004420,Media & Defamation,Defamation Suit
CASE-004421,Human Rights & PIL,Public Interest Litigation
CASE-004422,Education Law,Student Admission / Examination Dispute
CASE-004423,Environmental Law,Environmental Clearance Challenge
CASE-004424,Employment & Labour,Wrongful Termination
CASE-004425,Administrative Law,Administrative Order Challenge
CASE-004426,Human Rights & PIL,Public Interest Litigation
CASE-004427,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004428,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004429,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004430,Employment & Labour,Wrongful Termination
CASE-004431,Tax & GST,GST / Tax Assessment Appeal
CASE-004432,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004433,Child Protection,POCSO / Child Protection Proceeding
CASE-004434,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004435,Media & Defamation,Defamation Suit
CASE-004436,Property & Land,Property / Partition Suit
CASE-004437,Family & Succession,Inheritance / Probate
CASE-004438,Medical Negligence,Medical Negligence Complaint
CASE-004439,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004440,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004441,Property & Land,Property / Partition Suit
CASE-004442,White Collar Crime,Money Laundering / Corruption Case
CASE-004443,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004444,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004445,White Collar Crime,Money Laundering / Corruption Case
CASE-004446,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004447,Education Law,Student Admission / Examination Dispute
CASE-004448,Divorce & Matrimonial,Divorce Petition
CASE-004449,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004450,Arbitration,Arbitral Award Challenge
CASE-004451,Criminal Law,Criminal Trial
CASE-004452,Human Rights & PIL,Public Interest Litigation
CASE-004453,Divorce & Matrimonial,Divorce Petition
CASE-004454,Property & Land,Property / Partition Suit
CASE-004455,Tax & GST,GST / Tax Assessment Appeal
CASE-004456,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004457,Administrative Law,Administrative Order Challenge
CASE-004458,Arbitration,Arbitral Award Challenge
CASE-004459,Administrative Law,Administrative Order Challenge
CASE-004460,White Collar Crime,Money Laundering / Corruption Case
CASE-004461,Media & Defamation,Defamation Suit
CASE-004462,Consumer Protection,Deficiency in Service Complaint
CASE-004463,Human Rights & PIL,Public Interest Litigation
CASE-004464,Child Protection,POCSO / Child Protection Proceeding
CASE-004465,Intellectual Property,Trademark Infringement
CASE-004466,Environmental Law,Environmental Clearance Challenge
CASE-004467,Child Protection,POCSO / Child Protection Proceeding
CASE-004468,White Collar Crime,Money Laundering / Corruption Case
CASE-004469,Tax & GST,GST / Tax Assessment Appeal
CASE-004470,Human Rights & PIL,Public Interest Litigation
CASE-004471,Child Protection,POCSO / Child Protection Proceeding
CASE-004472,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004473,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004474,Medical Negligence,Medical Negligence Complaint
CASE-004475,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004476,Child Protection,POCSO / Child Protection Proceeding
CASE-004477,Consumer Protection,Deficiency in Service Complaint
CASE-004478,Employment & Labour,Wrongful Termination
CASE-004479,Employment & Labour,Wrongful Termination
CASE-004480,Employment & Labour,Wrongful Termination
CASE-004481,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004482,Criminal Law,Criminal Trial
CASE-004483,Medical Negligence,Medical Negligence Complaint
CASE-004484,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004485,Intellectual Property,Trademark Infringement
CASE-004486,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004487,Environmental Law,Environmental Clearance Challenge
CASE-004488,White Collar Crime,Money Laundering / Corruption Case
CASE-004489,Tax & GST,GST / Tax Assessment Appeal
CASE-004490,Employment & Labour,Wrongful Termination
CASE-004491,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004492,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004493,Media & Defamation,Defamation Suit
CASE-004494,Media & Defamation,Defamation Suit
CASE-004495,Child Protection,POCSO / Child Protection Proceeding
CASE-004496,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004497,Intellectual Property,Trademark Infringement
CASE-004498,Divorce & Matrimonial,Divorce Petition
CASE-004499,Criminal Law,Criminal Trial
CASE-004500,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004501,Property & Land,Property / Partition Suit
CASE-004502,Family & Succession,Inheritance / Probate
CASE-004503,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004504,Criminal Law,Criminal Trial
CASE-004505,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004506,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004507,Medical Negligence,Medical Negligence Complaint
CASE-004508,Administrative Law,Administrative Order Challenge
CASE-004509,Divorce & Matrimonial,Divorce Petition
CASE-004510,Education Law,Student Admission / Examination Dispute
CASE-004511,Family & Succession,Inheritance / Probate
CASE-004512,Intellectual Property,Trademark Infringement
CASE-004513,Corporate & Commercial,Commercial Contract Dispute
CASE-004514,Corporate & Commercial,Commercial Contract Dispute
CASE-004515,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004516,Corporate & Commercial,Commercial Contract Dispute
CASE-004517,Environmental Law,Environmental Clearance Challenge
CASE-004518,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004519,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004520,Child Protection,POCSO / Child Protection Proceeding
CASE-004521,Corporate & Commercial,Commercial Contract Dispute
CASE-004522,Consumer Protection,Deficiency in Service Complaint
CASE-004523,Family & Succession,Inheritance / Probate
CASE-004524,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004525,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004526,Human Rights & PIL,Public Interest Litigation
CASE-004527,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004528,Tax & GST,GST / Tax Assessment Appeal
CASE-004529,Child Protection,POCSO / Child Protection Proceeding
CASE-004530,Property & Land,Property / Partition Suit
CASE-004531,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004532,Tax & GST,GST / Tax Assessment Appeal
CASE-004533,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004534,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004535,Tax & GST,GST / Tax Assessment Appeal
CASE-004536,Media & Defamation,Defamation Suit
CASE-004537,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004538,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004539,Environmental Law,Environmental Clearance Challenge
CASE-004540,Media & Defamation,Defamation Suit
CASE-004541,Human Rights & PIL,Public Interest Litigation
CASE-004542,Medical Negligence,Medical Negligence Complaint
CASE-004543,Criminal Law,Criminal Trial
CASE-004544,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004545,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004546,Human Rights & PIL,Public Interest Litigation
CASE-004547,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004548,Administrative Law,Administrative Order Challenge
CASE-004549,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004550,Education Law,Student Admission / Examination Dispute
CASE-004551,Environmental Law,Environmental Clearance Challenge
CASE-004552,Media & Defamation,Defamation Suit
CASE-004553,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004554,White Collar Crime,Money Laundering / Corruption Case
CASE-004555,Media & Defamation,Defamation Suit
CASE-004556,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004557,Child Protection,POCSO / Child Protection Proceeding
CASE-004558,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004559,Medical Negligence,Medical Negligence Complaint
CASE-004560,Divorce & Matrimonial,Divorce Petition
CASE-004561,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004562,Administrative Law,Administrative Order Challenge
CASE-004563,White Collar Crime,Money Laundering / Corruption Case
CASE-004564,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004565,Education Law,Student Admission / Examination Dispute
CASE-004566,Employment & Labour,Wrongful Termination
CASE-004567,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004568,Property & Land,Property / Partition Suit
CASE-004569,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004570,Education Law,Student Admission / Examination Dispute
CASE-004571,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004572,Family & Succession,Inheritance / Probate
CASE-004573,Medical Negligence,Medical Negligence Complaint
CASE-004574,Property & Land,Property / Partition Suit
CASE-004575,Arbitration,Arbitral Award Challenge
CASE-004576,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004577,Child Protection,POCSO / Child Protection Proceeding
CASE-004578,Consumer Protection,Deficiency in Service Complaint
CASE-004579,Divorce & Matrimonial,Divorce Petition
CASE-004580,Arbitration,Arbitral Award Challenge
CASE-004581,Property & Land,Property / Partition Suit
CASE-004582,White Collar Crime,Money Laundering / Corruption Case
CASE-004583,Education Law,Student Admission / Examination Dispute
CASE-004584,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004585,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004586,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004587,Family & Succession,Inheritance / Probate
CASE-004588,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004589,Environmental Law,Environmental Clearance Challenge
CASE-004590,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004591,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004592,Medical Negligence,Medical Negligence Complaint
CASE-004593,Administrative Law,Administrative Order Challenge
CASE-004594,Child Protection,POCSO / Child Protection Proceeding
CASE-004595,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004596,Administrative Law,Administrative Order Challenge
CASE-004597,Education Law,Student Admission / Examination Dispute
CASE-004598,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004599,Human Rights & PIL,Public Interest Litigation
CASE-004600,Arbitration,Arbitral Award Challenge
CASE-004601,Consumer Protection,Deficiency in Service Complaint
CASE-004602,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004603,Administrative Law,Administrative Order Challenge
CASE-004604,Criminal Law,Criminal Trial
CASE-004605,Child Protection,POCSO / Child Protection Proceeding
CASE-004606,Corporate & Commercial,Commercial Contract Dispute
CASE-004607,Tax & GST,GST / Tax Assessment Appeal
CASE-004608,Arbitration,Arbitral Award Challenge
CASE-004609,Medical Negligence,Medical Negligence Complaint
CASE-004610,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004611,Environmental Law,Environmental Clearance Challenge
CASE-004612,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004613,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004614,Media & Defamation,Defamation Suit
CASE-004615,Intellectual Property,Trademark Infringement
CASE-004616,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004617,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004618,Environmental Law,Environmental Clearance Challenge
CASE-004619,White Collar Crime,Money Laundering / Corruption Case
CASE-004620,Child Protection,POCSO / Child Protection Proceeding
CASE-004621,Tax & GST,GST / Tax Assessment Appeal
CASE-004622,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004623,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004624,Property & Land,Property / Partition Suit
CASE-004625,Child Protection,POCSO / Child Protection Proceeding
CASE-004626,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004627,Corporate & Commercial,Commercial Contract Dispute
CASE-004628,Administrative Law,Administrative Order Challenge
CASE-004629,Consumer Protection,Deficiency in Service Complaint
CASE-004630,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004631,Property & Land,Property / Partition Suit
CASE-004632,Education Law,Student Admission / Examination Dispute
CASE-004633,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004634,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004635,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004636,Criminal Law,Criminal Trial
CASE-004637,Human Rights & PIL,Public Interest Litigation
CASE-004638,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004639,Corporate & Commercial,Commercial Contract Dispute
CASE-004640,Family & Succession,Inheritance / Probate
CASE-004641,Environmental Law,Environmental Clearance Challenge
CASE-004642,White Collar Crime,Money Laundering / Corruption Case
CASE-004643,Divorce & Matrimonial,Divorce Petition
CASE-004644,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004645,Employment & Labour,Wrongful Termination
CASE-004646,Environmental Law,Environmental Clearance Challenge
CASE-004647,Intellectual Property,Trademark Infringement
CASE-004648,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004649,Administrative Law,Administrative Order Challenge
CASE-004650,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004651,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004652,Arbitration,Arbitral Award Challenge
CASE-004653,Medical Negligence,Medical Negligence Complaint
CASE-004654,Environmental Law,Environmental Clearance Challenge
CASE-004655,Criminal Law,Criminal Trial
CASE-004656,Child Protection,POCSO / Child Protection Proceeding
CASE-004657,Medical Negligence,Medical Negligence Complaint
CASE-004658,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004659,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004660,Property & Land,Property / Partition Suit
CASE-004661,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004662,Employment & Labour,Wrongful Termination
CASE-004663,Criminal Law,Criminal Trial
CASE-004664,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004665,Family & Succession,Inheritance / Probate
CASE-004666,Education Law,Student Admission / Examination Dispute
CASE-004667,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004668,Intellectual Property,Trademark Infringement
CASE-004669,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004670,Environmental Law,Environmental Clearance Challenge
CASE-004671,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004672,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004673,Human Rights & PIL,Public Interest Litigation
CASE-004674,Divorce & Matrimonial,Divorce Petition
CASE-004675,Corporate & Commercial,Commercial Contract Dispute
CASE-004676,Intellectual Property,Trademark Infringement
CASE-004677,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004678,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004679,Arbitration,Arbitral Award Challenge
CASE-004680,Intellectual Property,Trademark Infringement
CASE-004681,Intellectual Property,Trademark Infringement
CASE-004682,Family & Succession,Inheritance / Probate
CASE-004683,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004684,Arbitration,Arbitral Award Challenge
CASE-004685,Family & Succession,Inheritance / Probate
CASE-004686,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004687,Corporate & Commercial,Commercial Contract Dispute
CASE-004688,Family & Succession,Inheritance / Probate
CASE-004689,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004690,Environmental Law,Environmental Clearance Challenge
CASE-004691,Human Rights & PIL,Public Interest Litigation
CASE-004692,Medical Negligence,Medical Negligence Complaint
CASE-004693,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004694,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004695,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004696,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004697,White Collar Crime,Money Laundering / Corruption Case
CASE-004698,White Collar Crime,Money Laundering / Corruption Case
CASE-004699,Property & Land,Property / Partition Suit
CASE-004700,Arbitration,Arbitral Award Challenge
CASE-004701,Education Law,Student Admission / Examination Dispute
CASE-004702,White Collar Crime,Money Laundering / Corruption Case
CASE-004703,Environmental Law,Environmental Clearance Challenge
CASE-004704,Family & Succession,Inheritance / Probate
CASE-004705,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004706,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004707,Arbitration,Arbitral Award Challenge
CASE-004708,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004709,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004710,Arbitration,Arbitral Award Challenge
CASE-004711,White Collar Crime,Money Laundering / Corruption Case
CASE-004712,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004713,Tax & GST,GST / Tax Assessment Appeal
CASE-004714,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004715,Divorce & Matrimonial,Divorce Petition
CASE-004716,Property & Land,Property / Partition Suit
CASE-004717,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004718,Human Rights & PIL,Public Interest Litigation
CASE-004719,Consumer Protection,Deficiency in Service Complaint
CASE-004720,Property & Land,Property / Partition Suit
CASE-004721,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004722,Medical Negligence,Medical Negligence Complaint
CASE-004723,Intellectual Property,Trademark Infringement
CASE-004724,Arbitration,Arbitral Award Challenge
CASE-004725,Education Law,Student Admission / Examination Dispute
CASE-004726,Human Rights & PIL,Public Interest Litigation
CASE-004727,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004728,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004729,Intellectual Property,Trademark Infringement
CASE-004730,Contract & Agreement,Breach of Contract / Specific Performance
CASE-004731,Consumer Protection,Deficiency in Service Complaint
CASE-004732,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004733,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004734,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004735,Family & Succession,Inheritance / Probate
CASE-004736,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004737,Media & Defamation,Defamation Suit
CASE-004738,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004739,Environmental Law,Environmental Clearance Challenge
CASE-004740,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004741,Administrative Law,Administrative Order Challenge
CASE-004742,Employment & Labour,Wrongful Termination
CASE-004743,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004744,Property & Land,Property / Partition Suit
CASE-004745,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-004746,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004747,Child Protection,POCSO / Child Protection Proceeding
CASE-004748,Tax & GST,GST / Tax Assessment Appeal
CASE-004749,Criminal Law,Criminal Trial
CASE-004750,Arbitration,Arbitral Award Challenge
CASE-004751,White Collar Crime,Money Laundering / Corruption Case
CASE-004752,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004753,Property & Land,Property / Partition Suit
CASE-004754,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004755,Human Rights & PIL,Public Interest Litigation
CASE-004756,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004757,Divorce & Matrimonial,Divorce Petition
CASE-004758,Education Law,Student Admission / Examination Dispute
CASE-004759,White Collar Crime,Money Laundering / Corruption Case
CASE-004760,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004761,Education Law,Student Admission / Examination Dispute
CASE-004762,Family & Succession,Inheritance / Probate
CASE-004763,Environmental Law,Environmental Clearance Challenge
CASE-004764,Administrative Law,Administrative Order Challenge
CASE-004765,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004766,Tax & GST,GST / Tax Assessment Appeal
CASE-004767,Education Law,Student Admission / Examination Dispute
CASE-004768,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004769,Divorce & Matrimonial,Divorce Petition
CASE-004770,Employment & Labour,Wrongful Termination
CASE-004771,Criminal Law,Criminal Trial
CASE-004772,Family & Succession,Inheritance / Probate
CASE-004773,Immigration & Citizenship,Citizenship / Passport Matter
CASE-004774,Consumer Protection,Deficiency in Service Complaint
CASE-004775,Employment & Labour,Wrongful Termination
CASE-004776,Education Law,Student Admission / Examination Dispute
CASE-004777,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004778,Cybercrime & IT,Online Fraud / Cybercrime
CASE-004779,Corporate & Commercial,Commercial Contract Dispute
CASE-004780,Property & Land,Property / Partition Suit
CASE-004781,Intellectual Property,Trademark Infringement
CASE-004782,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-004783,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004784,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004785,Medical Negligence,Medical Negligence Complaint
CASE-004786,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004787,Constitutional Law,Writ / Fundamental Rights Petition
CASE-004788,Media & Defamation,Defamation Suit
CASE-004789,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-004790,Administrative Law,Administrative Order Challenge
CASE-004791,Human Rights & PIL,Public Interest Litigation
CASE-004792,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004793,Employment & Labour,Wrongful Termination
CASE-004794,Employment & Labour,Wrongful Termination
CASE-004795,White Collar Crime,Money Laundering / Corruption Case
CASE-004796,Employment & Labour,Wrongful Termination
CASE-004797,Education Law,Student Admission / Examination Dispute
CASE-004798,Motor Accident Claims,Motor Accident Compensation Claim
CASE-004799,Human Rights & PIL,Public Interest Litigation
CASE-004800,Intellectual Property,Trademark Infringement
CASE-004801,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004802,Administrative Law,Administrative Order Challenge
CASE-004803,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-004804,Contract & Agreement,Breach of Contract / Specific Performance
