case_id,legal_domain,case_type,combo_text
CASE-004159,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-004160,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-004161,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-004162,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004163,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-004164,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-004165,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-004166,Corporate & Commercial,Commercial Contract Dispute,"Whether the facts and evidence establish the legal requirements arising from the corporate & commercial dispute. Synthetic case involving a commercial contract dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Corporate & Commercial, Commercial Contract Dispute, Companies Act, 2013, Companies Act §§241, 242; Contract Act §§73, 74"
CASE-004167,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-004168,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-004169,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-004170,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-004171,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-004172,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-004173,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-004174,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-004175,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-004176,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-004177,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-004178,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-004179,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-004180,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-004181,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-004182,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004183,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004184,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-004185,Cybercrime & IT,Online Fraud / Cybercrime,"Whether the facts and evidence establish the legal requirements arising from the cybercrime & it dispute. Synthetic case involving a online fraud / cybercrime. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Cybercrime & IT, Online Fraud / Cybercrime, Information Technology Act, 2000, IT Act §§43, 66, 66C, 66D"
CASE-004186,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-004187,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-004188,Banking & Finance,Loan Recovery / Cheque Dishonour,"Whether the facts and evidence establish the legal requirements arising from the banking & finance dispute. Synthetic case involving a loan recovery / cheque dishonour. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Banking & Finance, Loan Recovery / Cheque Dishonour, Negotiable Instruments Act, 1881, NI Act §138; SARFAESI §§13, 17"
CASE-004189,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-004190,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-004191,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-004192,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-004193,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-004194,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004195,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-004196,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-004197,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004198,Property & Land,Property / Partition Suit,"Whether the facts and evidence establish the legal requirements arising from the property & land dispute. Synthetic case involving a property / partition suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Property & Land, Property / Partition Suit, Transfer of Property Act, 1882, TPA §§53A, 54; SRA §§10, 16"
CASE-004199,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-004200,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-004201,Media & Defamation,Defamation Suit,"Whether the facts and evidence establish the legal requirements arising from the media & defamation dispute. Synthetic case involving a defamation suit. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Media & Defamation, Defamation Suit, Bharatiya Nyaya Sanhita, 2023, BNS §356; Constitution Art. 19(2)"
CASE-004202,Family & Succession,Inheritance / Probate,"Whether the facts and evidence establish the legal requirements arising from the family & succession dispute. Synthetic case involving a inheritance / probate. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Family & Succession, Inheritance / Probate, Indian Succession Act, 1925, ISA §§276, 372; HSA §§6, 8"
CASE-004203,Arbitration,Arbitral Award Challenge,"Whether the facts and evidence establish the legal requirements arising from the arbitration dispute. Synthetic case involving a arbitral award challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Arbitration, Arbitral Award Challenge, Arbitration and Conciliation Act, 1996, Arbitration Act §§9, 11, 34, 37"
CASE-004204,Administrative Law,Administrative Order Challenge,"Whether the facts and evidence establish the legal requirements arising from the administrative law dispute. Synthetic case involving a administrative order challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Administrative Law, Administrative Order Challenge, Constitution of India, Articles 14, 16, 226"
CASE-004205,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-004206,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-004207,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-004208,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-004209,Environmental Law,Environmental Clearance Challenge,"Whether the facts and evidence establish the legal requirements arising from the environmental law dispute. Synthetic case involving a environmental clearance challenge. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Environmental Law, Environmental Clearance Challenge, National Green Tribunal Act, 2010, NGT §§14, 15, 16"
CASE-004210,Motor Accident Claims,Motor Accident Compensation Claim,"Whether the facts and evidence establish the legal requirements arising from the motor accident claims dispute. Synthetic case involving a motor accident compensation claim. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Motor Accident Claims, Motor Accident Compensation Claim, Motor Vehicles Act, 1988, MV Act §§166, 168, 173"
CASE-004211,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-004212,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-004213,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-004214,Data Privacy,Personal Data Misuse / Privacy Petition,"Whether the facts and evidence establish the legal requirements arising from the data privacy dispute. Synthetic case involving a personal data misuse / privacy petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Data Privacy, Personal Data Misuse / Privacy Petition, DPDP Act, 2023, DPDP §§4, 8, 11, 12; Constitution Art. 21"
CASE-004215,Insolvency & Bankruptcy,Corporate Insolvency Resolution,"Whether the facts and evidence establish the legal requirements arising from the insolvency & bankruptcy dispute. Synthetic case involving a corporate insolvency resolution. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Insolvency & Bankruptcy, Corporate Insolvency Resolution, Insolvency and Bankruptcy Code, 2016, IBC §§7, 9, 12A, 14, 53"
CASE-004216,Consumer Protection,Deficiency in Service Complaint,"Whether the facts and evidence establish the legal requirements arising from the consumer protection dispute. Synthetic case involving a deficiency in service complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Consumer Protection, Deficiency in Service Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 35, 47"
CASE-004217,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-004218,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004219,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004220,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-004221,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004222,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-004223,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-004224,Real Estate & Housing,Builder-Buyer / RERA Dispute,"Whether the facts and evidence establish the legal requirements arising from the real estate & housing dispute. Synthetic case involving a builder-buyer / rera dispute. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Real Estate & Housing, Builder-Buyer / RERA Dispute, Real Estate (Regulation and Development) Act, 2016, RERA §§12, 14, 18, 31"
CASE-004225,Child Protection,POCSO / Child Protection Proceeding,"Whether the facts and evidence establish the legal requirements arising from the child protection dispute. Synthetic case involving a pocso / child protection proceeding. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Child Protection, POCSO / Child Protection Proceeding, POCSO Act, 2012, POCSO §§4, 6, 8, 12"
CASE-004226,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-004227,Contract & Agreement,Breach of Contract / Specific Performance,"Whether the facts and evidence establish the legal requirements arising from the contract & agreement dispute. Synthetic case involving a breach of contract / specific performance. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Contract & Agreement, Breach of Contract / Specific Performance, Indian Contract Act, 1872, Contract Act §§10, 73, 74; SRA §10"
CASE-004228,Medical Negligence,Medical Negligence Complaint,"Whether the facts and evidence establish the legal requirements arising from the medical negligence dispute. Synthetic case involving a medical negligence complaint. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Medical Negligence, Medical Negligence Complaint, Consumer Protection Act, 2019, CPA §§2(11), 34, 47"
CASE-004229,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004230,Divorce & Matrimonial,Divorce Petition,"Whether the facts and evidence establish the legal requirements arising from the divorce & matrimonial dispute. Synthetic case involving a divorce petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Divorce & Matrimonial, Divorce Petition, Hindu Marriage Act, 1955, HMA §§13, 13B, 24, 25"
CASE-004231,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004232,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-004233,Employment & Labour,Wrongful Termination,"Whether the facts and evidence establish the legal requirements arising from the employment & labour dispute. Synthetic case involving a wrongful termination. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Employment & Labour, Wrongful Termination, Industrial Disputes Act, 1947, ID Act §§25F, 25G, 25H"
CASE-004234,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004235,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004236,Human Rights & PIL,Public Interest Litigation,"Whether the facts and evidence establish the legal requirements arising from the human rights & pil dispute. Synthetic case involving a public interest litigation. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Human Rights & PIL, Public Interest Litigation, Constitution of India, Articles 14, 19, 21, 32, 226"
CASE-004237,Immigration & Citizenship,Citizenship / Passport Matter,"Whether the facts and evidence establish the legal requirements arising from the immigration & citizenship dispute. Synthetic case involving a citizenship / passport matter. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Immigration & Citizenship, Citizenship / Passport Matter, Citizenship Act, 1955, Citizenship Act §§5, 6; Passports Act §10"
CASE-004238,White Collar Crime,Money Laundering / Corruption Case,"Whether the facts and evidence establish the legal requirements arising from the white collar crime dispute. Synthetic case involving a money laundering / corruption case. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. White Collar Crime, Money Laundering / Corruption Case, Prevention of Money Laundering Act, 2002, PMLA §§3, 4, 19, 45"
CASE-004239,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-004240,Tax & GST,GST / Tax Assessment Appeal,"Whether the facts and evidence establish the legal requirements arising from the tax & gst dispute. Synthetic case involving a gst / tax assessment appeal. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Tax & GST, GST / Tax Assessment Appeal, CGST Act, 2017, CGST §§16, 73, 74; IT Act §§143, 147"
CASE-004241,Intellectual Property,Trademark Infringement,"Whether the facts and evidence establish the legal requirements arising from the intellectual property dispute. Synthetic case involving a trademark infringement. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Intellectual Property, Trademark Infringement, Trade Marks Act, 1999, TM Act §§28, 29, 134"
CASE-004242,Constitutional Law,Writ / Fundamental Rights Petition,"Whether the facts and evidence establish the legal requirements arising from the constitutional law dispute. Synthetic case involving a writ / fundamental rights petition. The pleadings concern rights, obligations, evidence and remedies under the applicable Indian law. Constitutional Law, Writ / Fundamental Rights Petition, Constitution of India, Articles 14, 19, 21, 32, 226"
